locale,topic,question,answer
fr,A propos de LHR,Contecter  LHR,"Voudriez-vous avoir plus d' information ou assistance, Veuillez voir sur www.lhr.org.za ou contactez les avocats des droits  de LHR sur 011-339-1960 ou 012-320-2943 ou 031 301 0531. "
so,arimaha khuseeya hayada qux. adamaha,wachayada xuquuda e sharciyaqanada,miyaad dalbanaysaa wax caawin ah ama miyaad qabtaa  wax su aal ah fadlan booqo www.lhr.orh.za wac sharciyaqaanada u dooda xuquuda adamaha 11-339-1960 ama 012-320-2943
sw,Kuhusu LHR,Pigia LHR,"Kama unahitaji maelezo na huduma, tafadhali enda www.lhr.org.za au pigia Wanasheria wa Haki za Binadamu kwenye  011-339-1960 au 012-320-2943."
fr,Lire les T & Cs,Confidentiel,Votre enregistrement et information personnel est confidentiel et securise.On utilisera seuleument ces details lorsque vous faites une demande de suivi ou si vous rapportez au bureau de LHR.
fr,Lire les T & Cs,Couts,L' enregistrement pour ce service est gratuite juste comme toute autre application sur le mobile. Ca compte selon que vous consommez les frais des donnees de USSD .
fr,Lire les T & Cs,Terminer,"Ce service vous est offert par les Avocats des Droits de l'Home/LHR, et LHR se reserve le droit d' annuler ce service si vous ou autre utilisateur est juge abusant du service."
so,udiyaar garawga nadamka iyo shurucda,kalsoonida,diwaan galinta iyo qaabka sharaxaadu waa amaan waxaana istimalaya kaliya marka aad dhamayso lana soco halkan wa codsi ama wargalin sharciyaqaanada u dooda xuquuqda adamaha
so,udiyaar garawga nadamka iyo shurucda,qiimaha,diwaan galinta adeega waa bilaash  runtii moobilka ayaa laga codsadaa waxayna ku xidan tahay inta u kaa goosto baaqi hayaha telefonkaagu wakhtiga aad istimaalayso
so,udiyaar garawga nadamka iyo shurucda,joojinta ama dhamaynta,adeegu waxuu kaaaga yimid sharci yaqaanada u dooda ququuqda adamaha sidoo kle shxuquuqda  adamhu waxay istimaalaka adeega si sharciya loomana baahna in aad u isticmaasho si xadgudub ah
sw,Soma sheria na masharti,Siri,Usajili wako na maelezo ya binafsi ni za siri na salama. Maelezo haya itatumika tu wakati wewe unapenda kufuatilia ombi au ripoti kwa Wanasheria wa Haki za Binadamu
sw,Soma sheria na masharti,Gharama,"Usajili kwa ajili ya huduma hii ni bure , sababu ni programu ya simu ya mkononi. Wewe tu utalipa ada za data katika  USSD kila mala  utakapotumia ."
sw,Soma sheria na masharti,Kusimamishwa,Huduma hii huletwa kwako na Wanasheria waHaki za Binadamu (LHR)  na LHR ina  haki ya kusimamisha  matumizi ya huduma hii kama ukionekana unaitumia kwa njia mbaya.
